sensors
TM
ETM+
OLI
IRMSS-2
PMS
PMS(GF-2)
多光谱相机
WFV
MSI
SAR-C(RadarSat)
SAR-X(TerraSAR)
SAR-C(Sentinel1)
BGIS2000
TIRS
TIRS2
CCD相机
HRCC
MODIS
WFV(GF-6)
HRG
MERSI-1
AHSI
高光谱相机
三线阵测绘相机
PMS(GF-6)
SAR-C(GF-3)
HRS
OLI2
MERSI-II
ASAR
VHRI-100
ASTER
WV110(WorldView-2)
双线阵立体相机
NAOMI
WV110(WorldView-3)
GIS
Hyperion
OSA
OLS
AVHRR
红外多光谱相机
VIRR
VIIRS(SNPP)
HSI(EnMAP)
HiRI
AHI-8
凝视相机
HR相机
ATLAS
PALSAR
TANSO-CAI
TROPOMI
OMI
OCO spectrometer
GOCI
SLSTR
MVISR
TANSO-FTS
TANSO-FTS-2
CZI
OLCI
ALT
SAR-2000
MWRI-1(微波成像仪)
AMSR2
AVNIR-2
TOMS
TANSO-CAI-2
GHGSat-Spectrometer
PRISM
REIS
FLOCK
