卫星
Landsat5
Landsat7
Landsat8
环境二号B星
高分一号
高分二号
资源三号
Sentinel2
RadarSat-1
TerraSAR-X
Sentinel1
Quickbird
Landsat9
环境一号A星
CBERS-2
Terra
高分六号
SPOT5
Landsat5
风云三号B星
高分五号
高分三号
风云三号D星
ENVISAT
北京二号
WorldView-2
高分七号
SPOT6
SPOT7
WorldView-3
Geoeye-1
NMP-EO-1
IKONOS
DMSP
NOAA
环境一号B星
风云三号C星
SNPP
EnMAP
Pleiades-1
Himawari-8
高分四号
资源一号02C星
ICESat–2
ALOS
GOSAT
Sentinel5P
Aura
OCO-2
COMS
Sentinel3
风云一号D星
OCO-3
GOSAT-2
海洋一号D星
海洋二号
COSMO-SkyMed
海洋一号C星
GCOM-W
Nimbus7
GHGSatD
RapidEye
PlanetScope
